,train_dur,exp_id,corpus,noise_dur,abx
0,8,02,seedlings,300,0.27908626198768616
1,8,02,seedlings,1000,0.2590350806713104
2,8,02,seedlings,500,0.284995436668396
3,8,05,seedlings,500,0.26259684562683105
4,8,05,seedlings,300,0.25539106130599976
5,8,05,seedlings,1000,0.24036550521850586
6,8,08,seedlings,300,0.27809756994247437
7,8,08,seedlings,1000,0.269811749458313
8,8,08,seedlings,500,0.28428730368614197
9,8,21,seedlings,1000,0.242107093334198
10,8,21,seedlings,300,0.28275951743125916
11,8,21,seedlings,500,0.2751041650772095
12,8,24,seedlings,300,0.2706560790538788
13,8,24,seedlings,1000,0.24351242184638977
14,8,24,seedlings,500,0.24753475189208984
15,8,27,seedlings,300,0.28953397274017334
16,8,27,seedlings,1000,0.24861659109592438
17,8,27,seedlings,500,0.27040019631385803
18,8,11,seedlings,500,0.2490588277578354
19,8,11,seedlings,300,0.2592507302761078
20,8,11,seedlings,1000,0.2332053929567337
21,8,19,seedlings,300,0.2647331953048706
22,8,19,seedlings,500,0.25089913606643677
23,8,19,seedlings,1000,0.23934300243854523
24,8,14,seedlings,300,0.2763432264328003
25,8,14,seedlings,500,0.2645358145236969
26,8,14,seedlings,1000,0.2555884122848511
27,8,17,seedlings,300,0.2546655535697937
28,8,17,seedlings,500,0.2628435492515564
29,8,17,seedlings,1000,0.24354714155197144
30,8,31,seedlings,1000,0.2631487548351288
31,8,31,seedlings,300,0.2735179364681244
32,8,31,seedlings,500,0.2625073194503784
33,8,01,seedlings,1000,0.25736841559410095
34,8,01,seedlings,300,0.28885966539382935
35,8,01,seedlings,500,0.27772843837738037
36,8,09,seedlings,300,0.28056833148002625
37,8,09,seedlings,500,0.26657527685165405
38,8,09,seedlings,1000,0.24511146545410156
39,8,04,seedlings,300,0.3028033971786499
40,8,04,seedlings,1000,0.2698684334754944
41,8,04,seedlings,500,0.2948008179664612
42,8,07,seedlings,300,0.26722225546836853
43,8,07,seedlings,1000,0.2415771186351776
44,8,07,seedlings,500,0.26165568828582764
45,8,23,seedlings,500,0.2763623893260956
46,8,23,seedlings,1000,0.27511876821517944
47,8,23,seedlings,300,0.29796966910362244
48,8,26,seedlings,500,0.25978711247444153
49,8,26,seedlings,300,0.2605007290840149
50,8,26,seedlings,1000,0.2457803636789322
51,8,29,seedlings,1000,0.2517525255680084
52,8,29,seedlings,500,0.27628472447395325
53,8,29,seedlings,300,0.2757127285003662
54,8,13,seedlings,1000,0.2458534836769104
55,8,13,seedlings,500,0.25191888213157654
56,8,13,seedlings,300,0.27771198749542236
57,8,16,seedlings,300,0.265199214220047
58,8,16,seedlings,1000,0.23480446636676788
59,8,16,seedlings,500,0.24977704882621765
60,8,30,seedlings,300,0.2725602686405182
61,8,30,seedlings,500,0.24128474295139313
62,8,30,seedlings,1000,0.24220578372478485
63,8,00,seedlings,1000,0.25978800654411316
64,8,00,seedlings,300,0.28729531168937683
65,8,00,seedlings,500,0.2667745053768158
66,8,03,seedlings,300,0.2670303285121918
67,8,03,seedlings,500,0.26555192470550537
68,8,03,seedlings,1000,0.2432200312614441
69,8,06,seedlings,500,0.269369512796402
70,8,06,seedlings,300,0.26141542196273804
71,8,06,seedlings,1000,0.25190606713294983
72,8,22,seedlings,1000,0.25914108753204346
73,8,22,seedlings,500,0.27334609627723694
74,8,22,seedlings,300,0.2935946583747864
75,8,25,seedlings,300,0.288981169462204
76,8,25,seedlings,1000,0.2551443874835968
77,8,25,seedlings,500,0.26223224401474
78,8,20,seedlings,300,0.2975786030292511
79,8,20,seedlings,500,0.2829587161540985
80,8,20,seedlings,1000,0.2672039568424225
81,8,28,seedlings,500,0.25232455134391785
82,8,28,seedlings,300,0.2677192986011505
83,8,28,seedlings,1000,0.2594956159591675
84,8,12,seedlings,500,0.25999632477760315
85,8,12,seedlings,300,0.28077852725982666
86,8,12,seedlings,1000,0.2688523530960083
87,8,15,seedlings,300,0.25974780321121216
88,8,15,seedlings,1000,0.24776315689086914
89,8,15,seedlings,500,0.2648483216762543
90,8,10,seedlings,1000,0.24807384610176086
91,8,10,seedlings,500,0.2650420367717743
92,8,10,seedlings,300,0.2714492082595825
93,8,18,seedlings,500,0.2565881013870239
94,8,18,seedlings,300,0.2812938392162323
95,8,18,seedlings,1000,0.26032528281211853
96,0,02,seedlings,1000,0.4422798156738281
97,0,02,seedlings,500,0.4505866467952728
98,0,02,seedlings,300,0.4471381604671478
99,0,05,seedlings,300,0.43871161341667175
100,0,05,seedlings,1000,0.44682931900024414
101,0,05,seedlings,500,0.46476882696151733
102,0,08,seedlings,300,0.4516410827636719
103,0,08,seedlings,500,0.46690240502357483
104,0,08,seedlings,1000,0.4333479702472687
105,0,21,seedlings,300,0.45784908533096313
106,0,21,seedlings,500,0.45544862747192383
107,0,21,seedlings,1000,0.4432136118412018
108,0,24,seedlings,500,0.4269316494464874
109,0,24,seedlings,1000,0.4485955834388733
110,0,24,seedlings,300,0.4310626983642578
111,0,27,seedlings,300,0.4550730884075165
112,0,27,seedlings,500,0.4409795105457306
113,0,27,seedlings,1000,0.43206506967544556
114,0,11,seedlings,1000,0.43077853322029114
115,0,11,seedlings,500,0.44330406188964844
116,0,11,seedlings,300,0.4661850929260254
117,0,19,seedlings,1000,0.4472605884075165
118,0,19,seedlings,500,0.45265716314315796
119,0,19,seedlings,300,0.45469754934310913
120,0,14,seedlings,300,0.44766172766685486
121,0,14,seedlings,500,0.43445542454719543
122,0,14,seedlings,1000,0.4383954107761383
123,0,17,seedlings,500,0.45073461532592773
124,0,17,seedlings,300,0.4525667428970337
125,0,17,seedlings,1000,0.44258958101272583
126,0,31,seedlings,1000,0.4400749206542969
127,0,31,seedlings,300,0.46597862243652344
128,0,31,seedlings,500,0.43768274784088135
129,0,01,seedlings,300,0.4559977948665619
130,0,01,seedlings,1000,0.4439820945262909
131,0,01,seedlings,500,0.44400861859321594
132,0,09,seedlings,1000,0.4300849735736847
133,0,09,seedlings,500,0.4587244391441345
134,0,09,seedlings,300,0.43961989879608154
135,0,04,seedlings,1000,0.4315159022808075
136,0,04,seedlings,500,0.44724783301353455
137,0,04,seedlings,300,0.4427841901779175
138,0,07,seedlings,300,0.4550822079181671
139,0,07,seedlings,1000,0.4469636380672455
140,0,07,seedlings,500,0.4609740674495697
141,0,23,seedlings,1000,0.4399561285972595
142,0,23,seedlings,300,0.4506341218948364
143,0,23,seedlings,500,0.4540259540081024
144,0,26,seedlings,1000,0.45424890518188477
145,0,26,seedlings,500,0.45110198855400085
146,0,26,seedlings,300,0.44858184456825256
147,0,29,seedlings,300,0.46357637643814087
148,0,29,seedlings,500,0.44504207372665405
149,0,29,seedlings,1000,0.44656434655189514
150,0,13,seedlings,500,0.4392032027244568
151,0,13,seedlings,300,0.45771196484565735
152,0,13,seedlings,1000,0.44836345314979553
153,0,16,seedlings,300,0.4551991820335388
154,0,16,seedlings,500,0.4524223506450653
155,0,16,seedlings,1000,0.44486749172210693
156,0,30,seedlings,500,0.4364163279533386
157,0,30,seedlings,300,0.4676361083984375
158,0,30,seedlings,1000,0.43836531043052673
159,0,00,seedlings,500,0.4378654956817627
160,0,00,seedlings,1000,0.44981908798217773
161,0,00,seedlings,300,0.45489582419395447
162,0,03,seedlings,500,0.45284542441368103
163,0,03,seedlings,1000,0.43033626675605774
164,0,03,seedlings,300,0.44547876715660095
165,0,06,seedlings,300,0.44260233640670776
166,0,06,seedlings,500,0.43655702471733093
167,0,06,seedlings,1000,0.43835529685020447
168,0,22,seedlings,300,0.4520147740840912
169,0,22,seedlings,500,0.44465553760528564
170,0,22,seedlings,1000,0.4368932545185089
171,0,25,seedlings,300,0.45364221930503845
172,0,25,seedlings,500,0.4505079984664917
173,0,25,seedlings,1000,0.4476717710494995
174,0,20,seedlings,300,0.45389068126678467
175,0,20,seedlings,500,0.4358918070793152
176,0,20,seedlings,1000,0.43395286798477173
177,0,28,seedlings,500,0.44723498821258545
178,0,28,seedlings,300,0.45287004113197327
179,0,28,seedlings,1000,0.43342652916908264
180,0,12,seedlings,500,0.4495833218097687
181,0,12,seedlings,1000,0.4312938451766968
182,0,12,seedlings,300,0.4456011950969696
183,0,15,seedlings,300,0.4513094127178192
184,0,15,seedlings,1000,0.453600138425827
185,0,15,seedlings,500,0.4313358664512634
186,0,10,seedlings,500,0.4510471522808075
187,0,10,seedlings,300,0.4379386305809021
188,0,10,seedlings,1000,0.43933114409446716
189,0,18,seedlings,300,0.44502919912338257
190,0,18,seedlings,500,0.44080594182014465
191,0,18,seedlings,1000,0.43616318702697754
192,1024,00,seedlings,1000,0.21371528506278992
193,1024,00,seedlings,500,0.21262246370315552
194,1024,00,seedlings,300,0.21866776049137115
195,64,02,seedlings,1000,0.2158607393503189
196,64,02,seedlings,500,0.24661000072956085
197,64,02,seedlings,300,0.24999451637268066
198,64,05,seedlings,300,0.2387518286705017
199,64,05,seedlings,1000,0.21928364038467407
200,64,05,seedlings,500,0.23199743032455444
201,64,08,seedlings,300,0.25456321239471436
202,64,08,seedlings,1000,0.22656433284282684
203,64,08,seedlings,500,0.241946280002594
204,64,11,seedlings,500,0.22328215837478638
205,64,11,seedlings,300,0.2367306351661682
206,64,11,seedlings,1000,0.2252448946237564
207,64,14,seedlings,500,0.2109411656856537
208,64,14,seedlings,300,0.23261332511901855
209,64,14,seedlings,1000,0.19885051250457764
210,64,01,seedlings,1000,0.21749816834926605
211,64,01,seedlings,500,0.24082143604755402
212,64,01,seedlings,300,0.2541520595550537
213,64,09,seedlings,1000,0.22414837777614594
214,64,09,seedlings,500,0.2382931113243103
215,64,09,seedlings,300,0.2423318773508072
216,64,04,seedlings,500,0.2534649074077606
217,64,04,seedlings,1000,0.2289857566356659
218,64,04,seedlings,300,0.23982273042201996
219,64,07,seedlings,500,0.23715461790561676
220,64,07,seedlings,1000,0.23046967387199402
221,64,07,seedlings,300,0.24279969930648804
222,64,13,seedlings,1000,0.228338822722435
223,64,13,seedlings,300,0.24093201756477356
224,64,13,seedlings,500,0.23521746695041656
225,64,00,seedlings,300,0.22847039997577667
226,64,00,seedlings,1000,0.2022331953048706
227,64,00,seedlings,500,0.2247989922761917
228,64,03,seedlings,1000,0.20455043017864227
229,64,03,seedlings,500,0.23277412354946136
230,64,03,seedlings,300,0.2318713665008545
231,64,06,seedlings,500,0.2236568182706833
232,64,06,seedlings,300,0.253720760345459
233,64,06,seedlings,1000,0.21579128503799438
234,64,12,seedlings,1000,0.2092745006084442
235,64,12,seedlings,500,0.22947004437446594
236,64,12,seedlings,300,0.23744334280490875
237,64,15,seedlings,1000,0.2113761007785797
238,64,15,seedlings,300,0.24143092334270477
239,64,15,seedlings,500,0.22728803753852844
240,64,10,seedlings,300,0.2676187753677368
241,64,10,seedlings,500,0.2472149282693863
242,64,10,seedlings,1000,0.22215096652507782
243,32,02,seedlings,500,0.24461987614631653
244,32,02,seedlings,1000,0.22395651042461395
245,32,02,seedlings,300,0.2615697979927063
246,32,05,seedlings,1000,0.22641080617904663
247,32,05,seedlings,300,0.25191155076026917
248,32,05,seedlings,500,0.25022661685943604
249,32,08,seedlings,1000,0.2281980812549591
250,32,08,seedlings,300,0.2549470365047455
251,32,08,seedlings,500,0.2376498579978943
252,32,21,seedlings,300,0.2610490024089813
253,32,21,seedlings,500,0.2412024885416031
254,32,21,seedlings,1000,0.2319115549325943
255,32,24,seedlings,500,0.25475144386291504
256,32,24,seedlings,1000,0.22346125543117523
257,32,24,seedlings,300,0.24417215585708618
258,32,27,seedlings,1000,0.2139839380979538
259,32,27,seedlings,500,0.2340935617685318
260,32,27,seedlings,300,0.25440606474876404
261,32,11,seedlings,300,0.24246525764465332
262,32,11,seedlings,1000,0.21693530678749084
263,32,11,seedlings,500,0.22968748211860657
264,32,19,seedlings,300,0.240194633603096
265,32,19,seedlings,1000,0.2290899157524109
266,32,19,seedlings,500,0.24173791706562042
267,32,14,seedlings,1000,0.232598677277565
268,32,14,seedlings,300,0.261509507894516
269,32,14,seedlings,500,0.2546948194503784
270,32,17,seedlings,500,0.24423612654209137
271,32,17,seedlings,1000,0.23702117800712585
272,32,17,seedlings,300,0.2494809925556183
273,32,31,seedlings,500,0.26242873072624207
274,32,31,seedlings,1000,0.234133780002594
275,32,31,seedlings,300,0.2762152850627899
276,32,01,seedlings,300,0.26772478222846985
277,32,01,seedlings,500,0.2562974691390991
278,32,01,seedlings,1000,0.24478435516357422
279,32,09,seedlings,300,0.26215460896492004
280,32,09,seedlings,500,0.25943896174430847
281,32,09,seedlings,1000,0.2291904091835022
282,32,04,seedlings,1000,0.24331869184970856
283,32,04,seedlings,300,0.26581135392189026
284,32,04,seedlings,500,0.2532675266265869
285,32,07,seedlings,500,0.2609630823135376
286,32,07,seedlings,1000,0.23299343883991241
287,32,07,seedlings,300,0.2797715663909912
288,32,23,seedlings,500,0.2366337776184082
289,32,23,seedlings,1000,0.22517363727092743
290,32,23,seedlings,300,0.22809211909770966
291,32,26,seedlings,500,0.23743054270744324
292,32,26,seedlings,1000,0.21850329637527466
293,32,26,seedlings,300,0.2546619176864624
294,32,29,seedlings,500,0.22831140458583832
295,32,29,seedlings,300,0.23938411474227905
296,32,29,seedlings,1000,0.21336257457733154
297,32,13,seedlings,300,0.25996890664100647
298,32,13,seedlings,1000,0.24322094023227692
299,32,13,seedlings,500,0.24953214824199677
300,32,16,seedlings,1000,0.2280610203742981
301,32,16,seedlings,500,0.25355264544487
302,32,16,seedlings,300,0.25824376940727234
303,32,30,seedlings,300,0.24560308456420898
304,32,30,seedlings,1000,0.2227887511253357
305,32,30,seedlings,500,0.23308661580085754
306,32,00,seedlings,500,0.24615955352783203
307,32,00,seedlings,1000,0.23951752483844757
308,32,00,seedlings,300,0.2568201422691345
309,32,03,seedlings,300,0.25875547528266907
310,32,03,seedlings,1000,0.24928545951843262
311,32,03,seedlings,500,0.2453380674123764
312,32,06,seedlings,300,0.2593366205692291
313,32,06,seedlings,500,0.25375184416770935
314,32,06,seedlings,1000,0.22190240025520325
315,32,22,seedlings,300,0.2521345019340515
316,32,22,seedlings,1000,0.24260783195495605
317,32,22,seedlings,500,0.24651680886745453
318,32,25,seedlings,300,0.24888889491558075
319,32,25,seedlings,1000,0.2344992756843567
320,32,25,seedlings,500,0.25730353593826294
321,32,20,seedlings,300,0.26076388359069824
322,32,20,seedlings,500,0.2679641544818878
323,32,20,seedlings,1000,0.2337600439786911
324,32,28,seedlings,500,0.2466685026884079
325,32,28,seedlings,300,0.23839181661605835
326,32,28,seedlings,1000,0.23147660493850708
327,32,12,seedlings,500,0.24762794375419617
328,32,12,seedlings,1000,0.2372569441795349
329,32,12,seedlings,300,0.25412097573280334
330,32,15,seedlings,300,0.253254771232605
331,32,15,seedlings,1000,0.22937136888504028
332,32,15,seedlings,500,0.2438632845878601
333,32,10,seedlings,300,0.2594553828239441
334,32,10,seedlings,1000,0.2275475114583969
335,32,10,seedlings,500,0.2520175576210022
336,32,18,seedlings,300,0.2613377273082733
337,32,18,seedlings,1000,0.2328837662935257
338,32,18,seedlings,500,0.24942615628242493
339,512,01,seedlings,500,0.21759502589702606
340,512,01,seedlings,300,0.2394791692495346
341,512,01,seedlings,1000,0.1980811208486557
342,512,00,seedlings,1000,0.22058479487895966
343,512,00,seedlings,500,0.22469115257263184
344,512,00,seedlings,300,0.22298425436019897
345,128,02,seedlings,500,0.22955594956874847
346,128,02,seedlings,1000,0.20700110495090485
347,128,02,seedlings,300,0.2362792193889618
348,128,05,seedlings,500,0.21898211538791656
349,128,05,seedlings,1000,0.20824560523033142
350,128,05,seedlings,300,0.2306012511253357
351,128,01,seedlings,1000,0.20839183032512665
352,128,01,seedlings,500,0.2373647689819336
353,128,01,seedlings,300,0.24755848944187164
354,128,04,seedlings,300,0.23813962936401367
355,128,04,seedlings,1000,0.20326204597949982
356,128,04,seedlings,500,0.22940605878829956
357,128,07,seedlings,1000,0.21257857978343964
358,128,07,seedlings,500,0.22122076153755188
359,128,07,seedlings,300,0.23102706670761108
360,128,00,seedlings,500,0.24776498973369598
361,128,00,seedlings,300,0.25086256861686707
362,128,00,seedlings,1000,0.21374453604221344
363,128,03,seedlings,1000,0.21089911460876465
364,128,03,seedlings,300,0.23587533831596375
365,128,03,seedlings,500,0.22183755040168762
366,128,06,seedlings,1000,0.2117891013622284
367,128,06,seedlings,500,0.22353985905647278
368,128,06,seedlings,300,0.23255665600299835
