,train_dur,exp_id,corpus,noise_dur,abx
0,8,02,seedlings,300,0.29018422961235046
1,8,02,seedlings,1000,0.2619258463382721
2,8,02,seedlings,500,0.27684450149536133
3,8,05,seedlings,500,0.2542177140712738
4,8,05,seedlings,300,0.26295095682144165
5,8,05,seedlings,1000,0.24049045145511627
6,8,08,seedlings,300,0.29213160276412964
7,8,08,seedlings,1000,0.2725418508052826
8,8,08,seedlings,500,0.279733270406723
9,8,21,seedlings,1000,0.25278347730636597
10,8,21,seedlings,300,0.27086004614830017
11,8,21,seedlings,500,0.2655077874660492
12,8,24,seedlings,300,0.26482057571411133
13,8,24,seedlings,1000,0.22961361706256866
14,8,24,seedlings,500,0.2408241629600525
15,8,27,seedlings,300,0.2710837423801422
16,8,27,seedlings,1000,0.23723027110099792
17,8,27,seedlings,500,0.25235167145729065
18,8,11,seedlings,500,0.24912559986114502
19,8,11,seedlings,300,0.2585849165916443
20,8,11,seedlings,1000,0.2368038147687912
21,8,19,seedlings,300,0.26051434874534607
22,8,19,seedlings,500,0.26319020986557007
23,8,19,seedlings,1000,0.24059447646141052
24,8,14,seedlings,300,0.2827691435813904
25,8,14,seedlings,500,0.2621375620365143
26,8,14,seedlings,1000,0.25223982334136963
27,8,17,seedlings,300,0.2549581229686737
28,8,17,seedlings,500,0.24746650457382202
29,8,17,seedlings,1000,0.22862200438976288
30,8,31,seedlings,1000,0.25439712405204773
31,8,31,seedlings,300,0.276599258184433
32,8,31,seedlings,500,0.26719021797180176
33,8,01,seedlings,1000,0.2525526285171509
34,8,01,seedlings,300,0.27366742491722107
35,8,01,seedlings,500,0.27239951491355896
36,8,09,seedlings,300,0.280452162027359
37,8,09,seedlings,500,0.2678026258945465
38,8,09,seedlings,1000,0.2572225034236908
39,8,04,seedlings,300,0.2932547926902771
40,8,04,seedlings,1000,0.2719629406929016
41,8,04,seedlings,500,0.2828528881072998
42,8,07,seedlings,300,0.2724629044532776
43,8,07,seedlings,1000,0.25482654571533203
44,8,07,seedlings,500,0.2602829039096832
45,8,23,seedlings,500,0.2737763226032257
46,8,23,seedlings,1000,0.2752774953842163
47,8,23,seedlings,300,0.28645214438438416
48,8,26,seedlings,500,0.26365071535110474
49,8,26,seedlings,300,0.27902752161026
50,8,26,seedlings,1000,0.24092821776866913
51,8,29,seedlings,1000,0.2540454566478729
52,8,29,seedlings,500,0.27588874101638794
53,8,29,seedlings,300,0.28234928846359253
54,8,13,seedlings,1000,0.2361931949853897
55,8,13,seedlings,500,0.262225478887558
56,8,13,seedlings,300,0.2630550265312195
57,8,16,seedlings,300,0.2598779797554016
58,8,16,seedlings,1000,0.23023805022239685
59,8,16,seedlings,500,0.252456933259964
60,8,30,seedlings,300,0.2687966525554657
61,8,30,seedlings,500,0.25475120544433594
62,8,30,seedlings,1000,0.2393217533826828
63,8,00,seedlings,1000,0.25838157534599304
64,8,00,seedlings,300,0.27451616525650024
65,8,00,seedlings,500,0.27386364340782166
66,8,03,seedlings,300,0.2660311162471771
67,8,03,seedlings,500,0.26792943477630615
68,8,03,seedlings,1000,0.23778946697711945
69,8,06,seedlings,500,0.26446592807769775
70,8,06,seedlings,300,0.2657930850982666
71,8,06,seedlings,1000,0.24368062615394592
72,8,22,seedlings,1000,0.2625275254249573
73,8,22,seedlings,500,0.269927054643631
74,8,22,seedlings,300,0.27667760848999023
75,8,25,seedlings,300,0.2804078757762909
76,8,25,seedlings,1000,0.26447129249572754
77,8,25,seedlings,500,0.2821232080459595
78,8,20,seedlings,300,0.30214473605155945
79,8,20,seedlings,500,0.27673208713531494
80,8,20,seedlings,1000,0.264651894569397
81,8,28,seedlings,500,0.25460463762283325
82,8,28,seedlings,300,0.2706315815448761
83,8,28,seedlings,1000,0.2465083748102188
84,8,12,seedlings,500,0.2653229832649231
85,8,12,seedlings,300,0.2744581401348114
86,8,12,seedlings,1000,0.24897846579551697
87,8,15,seedlings,300,0.27405864000320435
88,8,15,seedlings,1000,0.24477870762348175
89,8,15,seedlings,500,0.2689772844314575
90,8,10,seedlings,1000,0.23890309035778046
91,8,10,seedlings,500,0.26486244797706604
92,8,10,seedlings,300,0.27817583084106445
93,8,18,seedlings,500,0.2724066972732544
94,8,18,seedlings,300,0.2762703597545624
95,8,18,seedlings,1000,0.2591961622238159
96,0,02,seedlings,1000,0.4465179443359375
97,0,02,seedlings,500,0.457949161529541
98,0,02,seedlings,300,0.4471195936203003
99,0,05,seedlings,300,0.4487081468105316
100,0,05,seedlings,1000,0.44147369265556335
101,0,05,seedlings,500,0.4393109977245331
102,0,08,seedlings,300,0.4490101635456085
103,0,08,seedlings,500,0.45209211111068726
104,0,08,seedlings,1000,0.45544078946113586
105,0,21,seedlings,300,0.4536614716053009
106,0,21,seedlings,500,0.44071295857429504
107,0,21,seedlings,1000,0.44905978441238403
108,0,24,seedlings,500,0.4483564794063568
109,0,24,seedlings,1000,0.449291855096817
110,0,24,seedlings,300,0.44724881649017334
111,0,27,seedlings,300,0.4666304290294647
112,0,27,seedlings,500,0.4661495089530945
113,0,27,seedlings,1000,0.4398624300956726
114,0,11,seedlings,1000,0.44643303751945496
115,0,11,seedlings,500,0.45135945081710815
116,0,11,seedlings,300,0.45452508330345154
117,0,19,seedlings,1000,0.4372170567512512
118,0,19,seedlings,500,0.4600968658924103
119,0,19,seedlings,300,0.4625083804130554
120,0,14,seedlings,300,0.44561901688575745
121,0,14,seedlings,500,0.4453427493572235
122,0,14,seedlings,1000,0.44161543250083923
123,0,17,seedlings,500,0.4435568153858185
124,0,17,seedlings,300,0.4662165343761444
125,0,17,seedlings,1000,0.4470681846141815
126,0,31,seedlings,1000,0.4406818151473999
127,0,31,seedlings,300,0.4522798955440521
128,0,31,seedlings,500,0.44836723804473877
129,0,01,seedlings,300,0.4502822756767273
130,0,01,seedlings,1000,0.43932420015335083
131,0,01,seedlings,500,0.4507344365119934
132,0,09,seedlings,1000,0.44602569937705994
133,0,09,seedlings,500,0.4420849084854126
134,0,09,seedlings,300,0.454674631357193
135,0,04,seedlings,1000,0.44528287649154663
136,0,04,seedlings,500,0.44414353370666504
137,0,04,seedlings,300,0.4563002288341522
138,0,07,seedlings,300,0.46931159496307373
139,0,07,seedlings,1000,0.4399198293685913
140,0,07,seedlings,500,0.4416842460632324
141,0,23,seedlings,1000,0.4474354088306427
142,0,23,seedlings,300,0.44727689027786255
143,0,23,seedlings,500,0.44244080781936646
144,0,26,seedlings,1000,0.4414653480052948
145,0,26,seedlings,500,0.45160287618637085
146,0,26,seedlings,300,0.4653797745704651
147,0,29,seedlings,300,0.45542648434638977
148,0,29,seedlings,500,0.4569108486175537
149,0,29,seedlings,1000,0.43749940395355225
150,0,13,seedlings,500,0.44869256019592285
151,0,13,seedlings,300,0.461874395608902
152,0,13,seedlings,1000,0.4410771429538727
153,0,16,seedlings,300,0.46095338463783264
154,0,16,seedlings,500,0.45591211318969727
155,0,16,seedlings,1000,0.4418684244155884
156,0,30,seedlings,500,0.44391390681266785
157,0,30,seedlings,300,0.4523337185382843
158,0,30,seedlings,1000,0.4240071475505829
159,0,00,seedlings,500,0.4454898536205292
160,0,00,seedlings,1000,0.4357691705226898
161,0,00,seedlings,300,0.4530382752418518
162,0,03,seedlings,500,0.4523773789405823
163,0,03,seedlings,1000,0.4469473361968994
164,0,03,seedlings,300,0.4668457508087158
165,0,06,seedlings,300,0.4581249952316284
166,0,06,seedlings,500,0.43946290016174316
167,0,06,seedlings,1000,0.4510310888290405
168,0,22,seedlings,300,0.4617745280265808
169,0,22,seedlings,500,0.4504132568836212
170,0,22,seedlings,1000,0.4360616207122803
171,0,25,seedlings,300,0.4550621807575226
172,0,25,seedlings,500,0.44845935702323914
173,0,25,seedlings,1000,0.4363726079463959
174,0,20,seedlings,300,0.45010584592819214
175,0,20,seedlings,500,0.4426776170730591
176,0,20,seedlings,1000,0.4453432559967041
177,0,28,seedlings,500,0.4418271481990814
178,0,28,seedlings,300,0.4543989300727844
179,0,28,seedlings,1000,0.44619858264923096
180,0,12,seedlings,500,0.43817758560180664
181,0,12,seedlings,1000,0.4372045397758484
182,0,12,seedlings,300,0.4564342200756073
183,0,15,seedlings,300,0.4545370936393738
184,0,15,seedlings,1000,0.4526423513889313
185,0,15,seedlings,500,0.4535137414932251
186,0,10,seedlings,500,0.4488271176815033
187,0,10,seedlings,300,0.4587828814983368
188,0,10,seedlings,1000,0.4554210603237152
189,0,18,seedlings,300,0.4527721107006073
190,0,18,seedlings,500,0.4479617178440094
191,0,18,seedlings,1000,0.43643417954444885
192,1024,00,seedlings,1000,0.1725071668624878
193,1024,00,seedlings,500,0.19763636589050293
194,1024,00,seedlings,300,0.198137566447258
195,64,02,seedlings,1000,0.20738157629966736
196,64,02,seedlings,500,0.21875
197,64,02,seedlings,300,0.24165187776088715
198,64,05,seedlings,300,0.2201746553182602
